Pandemic,Country,Year,Cases,Deaths,Lon,Lat,population
Swineflu,Algeria,2009,19,0.0,2.61732301,28.15893849,35333882.00000001
Swineflu,Antigua and Barbuda,2009,12,0.0,-61.79469343,17.277499600000002,86743.0
Swineflu,Argentina,2009,14233,175.0,-65.17980692,-35.3813488,40482786.0
Swineflu,Australia,2009,39497,39.0,134.49100008,-25.73288704,21750852.000000004
Swineflu,Austria,2009,149,0.0,14.1264761,47.58549439,8372658.000000001
Swineflu,Bahamas,2009,46,0.0,-76.62843038,24.29036702,349600.0
Swineflu,Bahrain,2009,139,0.0,50.54196932,26.04205135,1185075.0
Swineflu,Bangladesh,2009,35,0.0,90.23812743,23.86731158,145924795.0
Swineflu,Barbados,2009,84,0.0,-59.559796999999996,13.18145428,281107.0
Swineflu,Belgium,2009,473,0.0,4.64065114,50.63981576,10859934.0
Swineflu,Bermuda,2009,9,0.0,-64.7545589,32.31367802,65675.0
Swineflu,Bolivia (Plurinational State of),2009,1200,0.0,-64.68538645,-16.70814787,9884790.0
Swineflu,Bosnia and Herzegovina,2009,2,0.0,17.76876733,44.17450125,3735945.0
Swineflu,Brazil,2009,3973,3.0,-53.09783113,-10.78777702,193886505.0
Swineflu,British Virgin Islands,2009,11,0.0,-64.47146992,18.52585755,27035.0
Swineflu,Brunei Darussalam,2009,283,0.0,114.72203035,4.51968958,383902.0
Swineflu,Bulgaria,2009,67,0.0,25.21552909,42.76890318,7473509.0
Swineflu,Cambodia,2009,32,0.0,104.90694325,12.72004786,14093605.0
Swineflu,Canada,2009,81685,194.0,-98.30777028,61.36206324,33746093.0
Swineflu,Cabo Verde,2009,18,0.0,-23.959888199999998,15.95523324,486667.0
Swineflu,Cayman Islands,2009,86,0.0,-80.91213321,19.42896497,55321.00000000001
Swineflu,Chile,2009,53937,76.0,-71.38256213,-37.73070989,16886183.999999996
Swineflu,China,2009,11687,0.0,103.81907349,36.56176546,1361169410.0
Swineflu,Colombia,2009,1037,19.0,-73.08114582,3.91383431,44750054.0
Swineflu,Cook Islands,2009,1,0.0,-159.78724218,-21.21927288,18602.0
Swineflu,Costa Rica,2009,2671,26.0,-84.19208768,9.97634464,4520739.000000001
Swineflu,Côte d'Ivoire,2009,12,0.0,-5.5692157,7.6284262,20059147.0
Swineflu,Croatia,2009,1,0.0,16.40412899,45.08047631,4341260.999999999
Swineflu,Cuba,2009,383,0.0,-79.01605384,21.62289528,11226711.000000002
Swineflu,Cyprus,2009,280,0.0,33.0060022,34.91667211,1098089.0
Swineflu,Czechia,2009,101,0.0,15.31240163,49.73341233,10488155.0
Swineflu,Denmark,2009,422,0.0,10.02800992,55.98125296,5526389.0
Swineflu,Dominica,2009,14,0.0,-61.357726,15.439470199999999,70848.0
Swineflu,Dominican Republic,2009,1385,20.0,-70.50568896,18.89433082,9576735.999999998
Swineflu,Ecuador,2009,1719,0.0,-78.75201922,-1.42381612,14774412.0
Swineflu,Egypt,2009,488,0.0,29.86190099,26.49593311,81134789.0
Swineflu,El Salvador,2009,2317,0.0,-88.87164469,13.73943744,6157678.000000001
Swineflu,Estonia,2009,103,0.0,25.54248537,58.67192972,1336140.0
Swineflu,Ethiopia,2009,14,0.0,39.60080098,8.62278679,85233923.00000001
Swineflu,Fiji,2009,13,0.0,165.45195432,-17.42858032,853636.0000000001
Swineflu,Finland,2009,274,0.0,26.274665600000002,64.49884603,5342266.0
Swineflu,France,2009,2417,0.0,-2.76172945,42.17344011,62542883.0
Swineflu,French Polynesia,2009,1,0.0,-144.90494387,-14.72227409,265256.0
Swineflu,French Polynesia,2009,15,0.0,-144.90494387,-14.72227409,265256.0
Swineflu,Germany,2009,3787,0.0,10.38578051,51.10698181,80899961.0
Swineflu,Greece,2009,735,0.0,22.95555794,39.07469623,10959268.0
Swineflu,Guatemala,2009,2440,16.0,-90.36482009,15.69403664,14316251.0
Swineflu,Guyana,2009,2,0.0,-58.98202459,4.79378034,747718.0000000001
Swineflu,Honduras,2009,1466,5.0,-86.6151661,14.82688165,8150780.0
Swineflu,Hungary,2009,96,0.0,19.39559116,47.16277506,9959439.0
Swineflu,Iceland,2009,57,0.0,-18.57396167,64.99575386,316057.0
Swineflu,India,2009,686,0.0,79.61197609999999,22.88578212,1217726217.0
Swineflu,Indonesia,2009,46,0.0,117.24011366,-2.21505456,238620553.99999997
Swineflu,Iran (Islamic Republic of),2009,4,0.0,54.27407004,32.57503292,72924833.0
Swineflu,Iraq,2009,44,0.0,43.74353149,33.03970582,28973157.000000004
Swineflu,Ireland,2009,390,0.0,-8.13793569,53.17544870000001,4494572.0
Swineflu,Isle of Man,2009,8,0.0,-4.53873952,54.22418911,84378.99999999999
Swineflu,Israel,2009,4179,0.0,35.00444693,31.46110101,7190036.999999999
Swineflu,Italy,2009,1432,0.0,12.07001339,42.79662641,59105622.0
Swineflu,Jamaica,2009,249,0.0,-77.31482593,18.15694878,2795839.0000000005
Swineflu,Japan,2009,15334,0.0,138.03089558,37.59230135,128555196.0
Swineflu,Jordan,2009,130,0.0,36.77136104,31.24579091,6893258.000000001
Swineflu,Kenya,2009,28,0.0,37.79593973,0.59988022,40901797.99999999
Swineflu,Republic of Korea,2009,1781,0.0,127.83916086,36.38523983,49347450.0
Swineflu,Kuwait,2009,468,0.0,47.58700459,29.33431262,2821040.9999999995
Swineflu,Lao People's Democratic Republic,2009,23,0.0,103.73772412,18.50217433,6148621.0
Swineflu,Latvia,2009,6,0.0,24.91235983,56.85085163,2144784.0
Swineflu,Lebanon,2009,286,0.0,35.88016072,33.92306631,4813026.0
Swineflu,Liechtenstein,2009,1,0.0,9.53574312,47.13665835,35723.0
Swineflu,Lithuania,2009,8,0.0,23.88719355,55.32610984,3167270.0
Swineflu,Luxembourg,2009,37,0.0,6.07182201,49.76725361,496536.0
Swineflu,Malaysia,2009,688,0.0,109.69762284,3.78986846,27735037.999999996
Swineflu,Malta,2009,26,0.0,14.40523316,35.92149632,411559.0
Swineflu,Mauritius,2009,9,0.0,57.57120551,-20.27768704,1243996.0
Swineflu,Mexico,2009,142567,2271.0,-102.52345169,23.94753724,112463886.0
Swineflu,Monaco,2009,1,0.0,7.40627677,43.75274627,35223.0
Swineflu,Montenegro,2009,26,0.0,19.23883939,42.78890259,622933.0
Swineflu,Morocco,2009,100,0.0,-8.45615795,29.83762955,31929087.000000004
Swineflu,Myanmar,2009,3,0.0,96.48843321,21.18566599,50250365.99999999
Swineflu,Nepal,2009,16,0.0,83.91582640000001,28.24891365,26883531.000000004
Swineflu,Netherlands,2009,1171,0.0,5.28144793,52.100789899999995,16626379.0
Swineflu,Curaçao,2009,38,0.0,-68.97119369,12.19551675,145364.0
Swineflu,Saint Martin (French part),2009,26,0.0,-63.05972851,18.08888611,37380.0
Swineflu,Aruba,2009,10,0.0,-69.98267711,12.52088038,101452.00000000001
Swineflu,Curaçao,2009,1,0.0,-68.97119369,12.19551675,145364.0
Swineflu,New Zealand,2009,4957,3.0,171.48492347,-41.81113557,4323338.0
Swineflu,Nicaragua,2009,2345,0.0,-85.0305297,12.84709429,5745538.0
Swineflu,Norway,2009,330,0.0,15.34834656,68.75015572,4826847.0
Swineflu,Oman,2009,25,0.0,56.09166155,20.60515333,2876185.9999999995
Swineflu,Palau,2009,2,0.0,134.40807966,7.28742784,18290.0
Swineflu,Panama,2009,5176,0.0,-80.11915156,8.51750797,3579215.0
Swineflu,Papua New Guinea,2009,8,0.0,145.20744752,-6.46416646,7144774.0
Swineflu,Paraguay,2009,738,1.0,-58.40013703,-23.22823913,6163970.0
Swineflu,Peru,2009,3856,0.0,-74.38242685,-9.15280381,28792662.999999996
Swineflu,Philippines,2009,7269,6.0,122.88393253,11.77536778,92414161.0
Swineflu,Poland,2009,185,0.0,19.39012835,52.12759564,38351924.0
Swineflu,Portugal,2009,145,0.0,-8.50104361,39.59550671,10604066.0
Swineflu,Puerto Rico,2009,18,0.0,-66.47307604,18.22813055,3596532.0
Swineflu,Qatar,2009,87,0.0,51.18479632,25.30601188,1654944.0
Swineflu,Romania,2009,291,0.0,24.97293039,45.85243127,20637995.0
Swineflu,Russian Federation,2009,59,0.0,96.68656112,61.98052209,143326904.0
Swineflu,Saint Lucia,2009,3,0.0,-60.96969923,13.89479481,172222.99999999997
Swineflu,Samoa,2009,9,0.0,-172.16485064,-13.75324346,184553.0
Swineflu,Saudi Arabia,2009,536,0.0,44.53686271,24.12245841,26630303.0
Swineflu,Serbia,2009,49,0.0,20.78958334,44.2215032,9023354.0
Swineflu,Singapore,2009,4157,0.0,103.81725592,1.35876087,4966614.000000001
Swineflu,Slovakia,2009,101,0.0,19.47905218,48.70547528,5401149.0
Swineflu,Slovenia,2009,32,0.0,14.80444238,46.11554772,2033807.0
Swineflu,South Africa,2009,36,0.0,25.08390093,-29.00034095,50477013.0
Swineflu,Spain,2009,8614,3.0,-3.64755047,40.24448698,46583566.0
Swineflu,Sri Lanka,2009,78,0.0,80.70108238,7.61266509,20123508.0
Swineflu,Suriname,2009,88,0.0,-55.9123457,4.13055413,523113.00000000006
Swineflu,Sweden,2009,678,0.0,16.74558049,62.77966519,9313085.0
Swineflu,Switzerland,2009,555,0.0,8.20867471,46.79785878,7713901.999999999
Swineflu,Syrian Arab Republic,2009,1,0.0,38.50788204,35.02547389,21205873.0
Swineflu,Thailand,2009,8726,13.0,101.0028813,15.11815794,66866834.0
Swineflu,Togo,2009,330,0.0,0.96232845,8.52531356,6250840.0
Swineflu,Tunisia,2009,17,0.0,9.55288359,34.11956246,10525691.0
Swineflu,Turkey,2009,323,0.0,35.16895346,39.0616029,71321406.0
Swineflu,Uganda,2009,2,0.0,32.36907971,1.27469299,31411096.0
Swineflu,Ukraine,2009,13,0.0,31.38326469,48.99656673,45970942.0
Swineflu,United Arab Emirates,2009,51,0.0,54.300167099999996,23.90528188,7917368.0
Swineflu,United Kingdom,2009,43708,15.0,-2.86563164,54.12387156,62828620.0
Swineflu,Isle of Man,2009,1,0.0,-4.53873952,54.22418911,84378.99999999999
Swineflu,United States of America,2009,358659,1194.0,-112.46167369999999,45.6795472,306307565.0
Swineflu,Uruguay,2009,1458,6.0,-56.01807053,-32.79951534,3349676.0
Swineflu,Vanuatu,2009,11,0.0,167.68644636,-16.22640909,230244.00000000003
Swineflu,Venezuela (Bolivarian Republic of),2009,1327,0.0,-66.18184123,7.12422421,28031010.0
Swineflu,Viet Nam,2009,822,0.0,106.29914698,16.646016699999997,87092250.0
Swineflu,United States Virgin Islands,2009,1,0.0,-64.80301538,17.95500624,106416.0
Swineflu,Israel,2009,146,0.0,35.00444693,31.46110101,7190036.999999999
Swineflu,Yemen,2009,50,0.0,47.58676189,15.90928005,22516464.0
